Fe,Co,Cr,Mo,Mn,Nb,Sn,Ni,Zr,Cu,Al,LREE,Pb,Ti,HREE,Be,Mg,C,B,P,G(Gpa)
15,0,0,0,0,0,0,0,0,21,10,54,0,0,0,0,0,0,0,0,14.1
5,0,0,0,0,0,0,0,0,23.8,10,61.2,0,0,0,0,0,0,0,0,13.9
0,0,0,0,0,0,0,0,0,25.2,10,64.8,0,0,0,0,0,0,0,0,17.7
0,2,0,0,0,0,0,0,0,20,10,68,0,0,0,0,0,0,0,0,11.9
0,2,0,0,0,0,0,0,0,20,10,68,0,0,0,0,0,0,0,0,11.6
0,0,4,0,0,0,0,0,40.32,44.16,6.72,0,0,0,4.8,0,0,0,0,0,31.2
0,0,0,0,0,0,4,0,40.32,44.16,6.72,0,0,0,4.8,0,0,0,0,0,34.4
0,0,0,0,0,0,0,0,37.436,53.018,0,0,0,7.546,2,0,0,0,0,0,31.6
0,0,0,0,0,0,0,0,45,45,10,0,0,0,0,0,0,0,0,0,36.3
0,0,0,0,0,0,0,0,46,46,7,0,0,0,1,0,0,0,0,0,32.9
0,0,0,0,0,0,0,0,46,46,8,0,0,0,0,0,0,0,0,0,34.3
0,0,0,0,0,0,0,0,47.25,47.25,5.5,0,0,0,0,0,0,0,0,0,32.4
0,0,0,0,0,0,0,0,47,47,6,0,0,0,0,0,0,0,0,0,33.8
0,0,0,0,0,0,0,0,48,48,4,0,0,0,0,0,0,0,0,0,32.4
57,0,9.5,8.55,0,0,0,0,0,0,0,0,0,0,1.9,5,0,12.35,5.7,0,78.8
57,0,9.5,8.55,0,0,0,5,0,0,0,0,0,0,1.9,0,0,12.35,5.7,0,76.6
58.8,0,9.8,8.82,0,0,0,0,0,0,0,0,0,0,1.96,2,0,12.74,5.88,0,79.2
58.8,0,9.8,8.82,0,0,0,0,0,0,0,0,2,0,1.96,0,0,12.74,5.88,0,79.6
52.65,5.85,6,14,0,0,0,0,0,0,0,0,0,0,0.5,0,0,15,6,0,76.2
52.65,5.85,6,14,0,0,0,0,0,0,0,0,0,0,0.5,0,0,18,3,0,75.3
52.65,5.85,6,14,0,0,0,0,0,0,0,0,0,0,0.5,0,0,19,2,0,74.4
57.825,6.425,0,14,0,0,0,0,0,0,0,0,0,0,0.75,0,0,15,6,0,73
58.05,6.45,0,14,0,0,0,0,0,0,0,0,0,0,0.5,0,0,15,6,0,73
58.275,6.475,0,14,0,0,0,0,0,0,0,0,0,0,0.25,0,0,15,6,0,73
58.3875,6.4875,0,14,0,0,0,0,0,0,0,0,0,0,0.125,0,0,15,6,0,73
57.6,6.4,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,15,6,0,73
0,2,0,0,0,0,0,0,0,20,10,68,0,0,0,0,0,0,0,0,11.4
