,ry,Kc,Gc,q,E,G,K,K/G,v,Gbas,Kbas,vbas
Fe65.5Cr15Mo4Ga4P12C5B5.5,…,…,…,7.30,149.7,…,113.4,…,0.280,82,170,0.29
Fe80P13C7,3.23,77,60,7.51,137.3,…,…,…,…,82,170,0.29
Fe46Ni32V2Si14B6,3.8,4,…,…,…,…,…,…,…,82,170,0.29
Fe75Mo5P10C8.3B1.7,3.2,27,…,…,…,…,…,…,…,82,170,0.29
Ti50Ni24Cu20B1Si2Sn3,2.1,…,…,…,110.0,…,…,…,…,44,110,0.32
Co43Fe20Ta5.5B31.5,…,…,…,…,209.0,…,…,…,…,75,180,0.31
Zn40Ca31Mg11Yb18,…,…,…,4.30,28.8,…,…,…,0.259,43,70,0.25
Ce60Al20Ni10Cu10,0.8,10,…,…,30.3,…,…,…,0.313,14,22,0.24
Dy40Y16Al24Co20,…,…,0.06,…,…,…,…,…,0.317,25,41,0.25
Metallic glasses (at. %),(GPa),(MPa m1/2),(kJ m 2),(g cm 3),(GPa),(GPa),(GPa),,,(GPa),(GPa),
Co56Ta9B35,5.59,…,…,9.27,246.9,93.8,224.1,2.389,0.315,75,180,0.31
Co58Ta7B35,5.515,…,…,8.96,240.6,91.5,215.7,2.357,…,75,180,0.31
Fe64Cr10Mo9C15Er2,…,…,…,7.99,224.9,88.2,166.8,1.891,0.275,82,170,0.29
Fe48Cr15Mo14C15B6Er2,…,…,…,7.90,224.0,85.8,191.1,2.227,0.305,82,170,0.29
Fe41Co7Cr15Mo14C15B6Y2,…,…,…,7.90,220.2,84.1,192.5,2.289,0.309,82,170,0.29
Fe49Cr15Mo14C13B8Er1,…,…,…,…,220.0,82.5,201.0,2.436,0.320,82,170,0.29
Fe50Cr15Mo14C15B6,…,…,…,…,217.0,82.0,204.0,2.488,0.322,82,170,0.29
Co43Fe5Cr15Mo14C15B6Er2,5.2,…,…,…,…,82.0,…,…,…,75,180,0.31
Fe49Cr15Mo14C15B6Er1,3.75,25.6,2.8,…,220.0,81.9,200.0,2.442,0.320,82,170,0.29
Fe48Cr15Mo14C15B6Er2,4.2,12.7,0.72,…,213.0,81.0,195.0,2.407,0.317,82,170,0.29
Fe49Cr15Mo14C17B4Er1,…,…,…,…,210.0,80.8,200.0,2.475,0.320,82,170,0.29
